               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.033561,            0.041227,             0.01886,              0.8885,             0.63043,             0.73805,             0.54489,            0.025645,            0.014825,            0.011179,            0.003268,            0.003268,            0.003268
                  70,            0.033552,            0.040992,            0.019045,             0.68755,             0.68061,             0.74227,             0.55183,            0.025067,            0.014886,            0.010368,            0.003169,            0.003169,            0.003169
                  71,            0.033683,            0.041078,            0.018886,              0.6745,             0.70115,             0.74533,             0.54862,             0.02512,            0.014881,            0.010347,             0.00307,             0.00307,             0.00307
                  72,            0.033514,            0.040725,            0.018468,              0.6916,             0.69848,             0.74817,             0.55255,            0.024925,            0.014649,            0.009694,            0.002971,            0.002971,            0.002971
                  73,            0.033096,            0.039763,            0.018268,             0.81204,             0.64039,              0.7503,              0.5489,            0.025221,            0.014689,           0.0092292,            0.002872,            0.002872,            0.002872
                  74,            0.033115,            0.040605,            0.018045,             0.77946,             0.66218,             0.74934,             0.55118,             0.02555,            0.014828,           0.0096167,            0.002773,            0.002773,            0.002773
                  75,            0.033027,            0.040432,            0.017129,             0.63234,             0.77829,             0.75031,             0.55376,            0.025453,            0.014693,            0.010143,            0.002674,            0.002674,            0.002674
                  76,             0.03291,            0.040094,             0.01788,             0.65992,             0.72297,             0.74231,             0.54961,            0.025334,            0.014654,           0.0099348,            0.002575,            0.002575,            0.002575
                  77,            0.032901,            0.040155,            0.017146,             0.87249,             0.63741,             0.73878,             0.54752,            0.025591,            0.014677,           0.0089478,            0.002476,            0.002476,            0.002476
                  78,            0.032813,            0.039839,            0.017244,             0.68786,             0.68775,             0.73575,             0.54937,            0.025321,            0.014659,           0.0093072,            0.002377,            0.002377,            0.002377
                  79,            0.033087,            0.040405,            0.017398,             0.84859,              0.6441,              0.7427,             0.55638,            0.025241,            0.014655,           0.0089437,            0.002278,            0.002278,            0.002278
                  80,            0.032407,            0.039916,            0.016639,             0.81988,             0.65921,             0.73249,             0.55171,              0.0251,            0.014622,            0.009989,            0.002179,            0.002179,            0.002179
                  81,            0.032518,            0.039753,            0.017033,             0.84361,             0.64363,              0.7329,             0.55009,            0.025065,            0.014576,            0.010662,             0.00208,             0.00208,             0.00208
                  82,            0.032597,            0.040436,            0.016751,             0.77881,             0.65575,             0.73647,             0.55002,            0.025162,            0.014469,            0.010312,            0.001981,            0.001981,            0.001981
                  83,            0.032517,            0.040038,            0.016746,             0.79113,             0.66123,             0.73376,             0.55183,            0.025255,            0.014457,           0.0093297,            0.001882,            0.001882,            0.001882
                  84,            0.031802,             0.03897,            0.016427,             0.68584,             0.69165,             0.73355,             0.54981,            0.025139,            0.014429,            0.009614,            0.001783,            0.001783,            0.001783
                  85,             0.03206,            0.039536,            0.015678,             0.88465,             0.63821,             0.74018,             0.55024,            0.025014,            0.014415,            0.010095,            0.001684,            0.001684,            0.001684
